SubjectID,Group,Age,Sex,Status,Radius,Total_trials,mean_dist1,mean_dist2,mean_dist3,pstd_dist1,pstd_dist2,pstd_dist3,mean_angl1,mean_angl2,mean_angl3,pstd_angl1,pstd_angl2,pstd_angl3,mean_degrees1,mean_degrees2,mean_degrees3,pstd_degrees1,pstd_degrees2,pstd_degrees3
13S,Young,20,Female,,1,9,1.092289256,2.161369716,3.273576706,0.353822033,0.468299098,1.684075559,71.67424165,66.83336742,70.67576234,27.66108631,16.08097704,40.71762606,289.1590015,293.6806486,289.5854373,29.18344501,16.97862559,44.01623276
68S,Young,26,Female,,1,5,1.133057859,2.989579448,,0.563871393,0.756937991,,79.18896601,106.3015297,,41.73728951,39.24177653,,439.2640502,554.4293831,,47.09794606,92.01926407,
72S,Young,22,Female,,1,4,,1.044630685,,,0.437493434,,,30.78760872,,,13.67989339,,,360.4481436,,,36.71222654,
74S,Young,20,Female,,1,6,0.518369039,1.079323538,1.928790832,0.310954434,0.383944706,1.058072114,33.100202,31.99242588,38.42724715,23.32975289,11.99169064,21.61273354,348.8571642,365.9672812,321.6284719,42.38910163,36.89116015,24.12731413
76S,Young,19,Female,,1,10,0.97647594,2.309563046,4.04564334,0.552804292,1.083616854,2.096665416,64.73532649,77.34092531,100.4236823,41.37874993,43.84907119,58.22613503,336.5258552,284.2844652,259.0738694,135.175548,49.85420678,68.28979971
86S,Young,18,Female,,1,10,0.471861781,1.015857193,1.07479238,0.220162757,0.651444577,0.722719653,27.39766104,30.24221286,21.02870314,13.29535477,20.73335357,14.56311421,353.8375164,392.908649,339.2458389,48.2880873,111.8717078,22.92857038
90S,Young,19,Female,,1,10,0.905096409,1.47697683,2.09210321,0.522582451,1.052078722,1.204734325,58.70186148,45.67335345,41.90305635,39.89886666,37.13467656,26.93831373,305.170911,318.6136391,340.2403799,45.81404937,44.07987661,52.75986506
91S,Young,19,Female,,1,7,0.977572026,1.656463032,2.581600795,0.419696616,0.850246381,1.602462496,65.53643191,51.76524456,54.22426995,33.08355283,30.3029111,35.33517345,376.0488608,423.8918281,400.2081271,45.1796452,36.70837901,45.30990296
94S,Young,19,Female,,1,10,0.377570584,0.972470406,1.701885789,0.228239092,0.558417438,1.558874772,22.11720803,28.39989912,34.80643369,14.21331961,17.26038236,33.19566897,343.0696305,352.5242924,390.0330362,20.19211958,34.20070319,39.87037998
96S,Young,19,Female,,1,10,0.790099205,1.179116541,2.238643661,0.620253493,0.60596821,1.644846854,51.13194314,34.9966403,46.57185741,48.83435041,18.47972147,37.66222332,494.9861668,331.8690275,400.3105141,244.7110382,19.35642712,122.0042131
100S,Young,24,Female,,1,10,0.753137108,1.268997914,2.470161017,0.332994374,0.80875343,1.226134983,47.81989966,38.29923999,50.68254926,23.93407265,25.98755875,26.93871006,312.7847606,346.2101817,380.5224667,25.92253197,46.36621015,56.95898359
101S,Young,23,Female,,1,10,0.784880454,1.072856345,4.571624425,0.264206948,0.779584027,1.358161854,47.07987235,31.97676093,115.7913378,16.8156583,25.37623393,48.24971138,313.3625512,366.0951899,460.2730156,17.99163888,43.12141432,80.89837756
522,Young,19,Female,,1,9,0.923381811,2.609413091,4.74277486,0.645770589,1.366964267,1.47354547,60.68779529,94.86795362,114.9945849,46.29454012,59.17204369,44.64849046,389.7989521,436.4744242,478.1588814,110.9978594,98.35587719,65.87246573
502,Young,21,Male,,1,9,0.733235272,2.086472769,1.786783055,0.432568955,1.230906557,1.10821552,48.62870389,70.38477874,35.68563613,35.64101586,47.42430278,22.71274518,324.702824,356.7235207,349.5124784,51.81345829,84.78473051,45.95432788
507,Young,19,Male,,1,9,1.332371729,2.7420971,3.726776566,0.227251647,0.656714187,1.527208728,89.39469085,91.78646116,80.66665366,19.18844381,30.36587882,36.14470108,271.3322641,268.5264931,279.4344613,20.34338393,31.963144,38.35741316
509,Young,21,Male,,1,8,1.045254055,1.825880998,2.04854858,0.379643214,0.923388017,1.415968628,66.45490362,57.12382332,41.70627177,25.92262358,30.74106678,29.8093001,293.8758459,303.1375945,371.0804467,28.06895857,32.3776956,54.65067294
515,Young,19,Male,,1,6,1.452376809,2.423223439,3.010243372,0.53075221,0.989319545,1.471443214,109.2547199,81.28669246,67.17455686,47.77503201,39.07035429,45.97462364,250.694765,286.0661433,307.4744589,52.43520905,54.56735049,67.4558621
516,Young,19,Male,,1,10,0.658616997,0.998077975,1.420824831,0.257711395,0.728893467,0.819718821,38.99088215,29.69862855,27.37580652,18.80966155,22.18734367,16.06037842,335.9470463,368.5859663,360.3162551,37.00253152,38.38203139,34.235884
519,Young,20,Male,,1,10,1.543610891,2.289173957,2.838601919,0.197943354,1.023108338,2.211574941,104.1138399,76.57140721,65.63515877,17.55396809,40.14251986,55.85850545,219.689271,283.5497898,382.7896962,1.15E+02,42.25411711,1.05E+02
520,Young,18,Male,,1,8,0.519757438,0.932283557,,0.277819022,0.498001644,,30.76916777,27.12010009,,18.19818177,15.9604751,,336.9843982,367.6026937,,29.12514183,32.11866145,
07S,Young,21,Male,,1,6,0.469510857,2.451639524,,0.330595228,0.587158407,,24.07959106,77.2508834,,23.86326217,20.28916762,,383.5799457,437.3542948,,26.91677855,22.21103831,
17S,Young,21,Male,,1,10,0.601478239,1.048640078,,0.382213642,0.680383371,,35.71793766,29.99865951,,23.43308624,20.7123325,,379.7374399,379.8969471,,40.03690227,32.77555265,
56S,Young,22,Male,,1,6,0.357978544,0.626753663,,0.305613822,0.340587956,,20.74099488,18.34038066,,19.87673642,10.45688149,,339.5083531,341.743048,,21.6413182,11.45525507,
66S,Young,22,Male,,1,5,0.689742498,1.217580982,,0.237477815,0.567242036,,41.17477144,35.79145615,,15.16930123,17.47864371,,389.1085844,337.7588605,,36.7768263,36.18281074,
70S,Young,23,Male,,1,6,0.534724089,1.411356962,,0.163868116,0.70593881,,31.91025892,43.49877694,,10.69088903,23.41198878,,392.5118834,403.492611,,11.7145799,26.01745709,
73S,Young,22,Male,,1,6,0.942983256,2.067049583,,0.45205092,1.129829667,,59.7907755,65.55611138,,31.65817257,37.0644136,,410.9060277,466.9949506,,49.06724167,111.6569196,
75S,Young,18,Male,,1,6,0.617569073,0.513267811,,0.516843538,0.404080405,,42.59694126,14.9226108,,43.33400229,12.06576769,,357.2154151,364.7285967,,66.65714813,20.43562527,
78S,Young,19,Male,,1,5,0.948700358,2.259167485,,0.345707608,0.788470661,,60.78596644,70.8597969,,25.67015465,26.65150934,,381.7981185,352.4670742,,69.62437907,82.52733603,
