Subject#,shortcut,Shortcut liberal,Learned,Learned liberal,Reversed Learned,rev learned liberal,wandering,uncodable,Failure,shortcut_wliberal,learned,rev learned,Success,Soln Index,SI_true,SI_true_percent,SI_strict,Sum_trials,Success_dec,Success_percent,TrueEfficiency,TrueEfficiency_new,Time,Distance,Time_first_movement,Age,Sex,Status,Group
72S,6,2,1,0,4,3,1,3,0,8,1,7,20,0.888888889,0.4,40,0.3,20,1,100,2.28090986,2.28090986,18.8365,284.571,2.582,22,Female,,Young
74S,2,5,4,3,2,2,0,1,1,7,7,4,19,0.5,0.368421053,36.84210526,0.105263158,20,0.95,95,2.251876579,2.348353403,22.745,328.283,3.167,20,Female,,Young
76S,5,1,1,2,0,3,0,2,6,6,3,3,14,0.666666667,0.428571429,42.85714286,0.357142857,20,0.7,70,1.688678314,2.461287771,24.8785,357.7035,3.496,19,Female,,Young
86S,1,3,6,1,0,1,0,4,4,4,7,1,16,0.363636364,0.25,25,0.0625,20,0.8,80,2.521442203,2.991153541,26.111,402.2485,1.992,18,Female,,Young
90S,5,1,0,4,0,3,0,2,5,6,4,3,15,0.6,0.4,40,0.333333333,20,0.75,75,2.064971936,3.213818716,26.235,401.7835,2.569,19,Female,,Young
91S,1,1,7,2,3,3,0,1,2,2,9,6,18,0.181818182,0.111111111,11.11111111,0.055555556,20,0.9,90,2.6771753,2.857208305,25.3885,372.5285,3.559,19,Female,,Young
94S,3,2,7,1,2,4,0,1,0,5,8,6,20,0.384615385,0.25,25,0.15,20,1,100,2.558066329,2.558066329,19.6185,334.008,1.9715,19,Female,,Young
95S,2,0,3,4,1,2,0,2,6,2,7,3,14,0.222222222,0.142857143,14.28571429,0.142857143,20,0.7,70,2.773162417,3.216668997,29.2065,423.853,2.2085,18,Female,,Young
502,2,2,5,5,2,2,0,2,0,4,10,4,20,0.285714286,0.2,20,0.1,20,1,100,2.345510858,2.345510858,18.019,326.6145,1.4075,21,Male,,Young
507,3,3,2,1,2,2,1,4,2,6,3,4,18,0.666666667,0.333333333,33.33333333,0.166666667,20,0.9,90,2.769176493,2.989032935,21.3695,403.1925,1.7305,19,Male,,Young
509,4,5,2,2,1,0,0,6,0,9,4,1,20,0.692307692,0.45,45,0.2,20,1,100,2.731370151,2.731370151,18.2975,348.1405,1.228,21,Male,,Young
515,3,2,3,3,0,4,2,2,1,5,6,4,19,0.454545455,0.263157895,26.31578947,0.157894737,20,0.95,95,2.701216517,2.742484485,22.2335,363.578,0.8455,19,Male,,Young
